SUB,COND,MODE,META,VAR
129,NAP,MODE1,0.2171636169119,0.00440188424546434
130,NAP,MODE1,0.212913773453762,0.00603186667667188
72,NAP,MODE2,0.244733223398857,0.00530783240400357
73,NAP,MODE2,0.194089138338289,0.00424514305168117
74,NAP,MODE2,0.22689238805198,0.00585483516998719
75,NAP,MODE2,0.186590748426925,0.003889739979097
76,NAP,MODE2,0.214279257672228,0.0057291828922033
77,NAP,MODE2,0.245968657275973,0.00455930352544853
78,NAP,MODE2,0.19073573869249,0.00339668555316239
79,NAP,MODE2,0.21161424739042,0.00488340118269973
80,NAP,MODE2,0.193210430521634,0.00740044954650973
81,NAP,MODE2,0.220644332963162,0.00680123765249763
82,NAP,MODE2,0.162350228839956,0.00413824096079131
83,NAP,MODE2,0.204358804004266,0.00176034940810677
84,NAP,MODE2,0.218197452474948,0.00599805300035864
85,NAP,MODE2,0.213108334924359,0.00643069561039814
86,NAP,MODE2,0.213704358307394,0.00554844850922552
87,NAP,MODE2,0.19727390414891,0.00547842511830488
88,NAP,MODE2,0.212666112806232,0.00654281046090435
89,NAP,MODE2,0.223780707803492,0.00597439086209832
90,NAP,MODE2,0.220907831963465,0.0057696145873947
91,NAP,MODE2,0.20455772893603,0.00458610843940228
92,NAP,MODE2,0.174269858175041,0.00325594402319689
93,NAP,MODE2,0.210650126914251,0.00394697681244331
94,NAP,MODE2,0.188315075696216,0.0068246654168969
95,NAP,MODE2,0.227147793678725,0.00426686080242372
96,NAP,MODE2,0.225124047414541,0.00627156101697212
97,NAP,MODE2,0.207199449129374,0.00561965569148946
98,NAP,MODE2,0.172788026302511,0.00388621212314965
99,NAP,MODE2,0.170715493046807,0.00434439116046919
100,NAP,MODE2,0.191717437918489,0.00623977544609472
101,NAP,MODE2,0.215500434475407,0.00478660846251808
102,NAP,MODE2,0.192881299693663,0.00677319524495698
103,NAP,MODE2,0.208118863947059,0.0053805008729117
104,NAP,MODE2,0.184015110583067,0.0069107052169641
105,NAP,MODE2,0.184009566396673,0.00743865323015208
106,NAP,MODE2,0.175057547501065,0.00398417024264105
107,NAP,MODE2,0.208255564995492,0.00421725673254634
108,NAP,MODE2,0.210197175142974,0.00507566397562637
109,NAP,MODE2,0.260803399552566,0.00539326027445205
110,NAP,MODE2,0.192473695303197,0.00392979600856459
111,NAP,MODE2,0.230818510826478,0.00650386071553157
112,NAP,MODE2,0.270912452817342,0.00445443714989794
113,NAP,MODE2,0.187494001662174,0.00484197617947223
114,NAP,MODE2,0.236475083834605,0.00558133926522438
115,NAP,MODE2,0.232967518026991,0.00521090953263801
116,NAP,MODE2,0.237362779053497,0.00622158112270555
117,NAP,MODE2,0.245076880405715,0.00573860185965355
118,NAP,MODE2,0.190761009745924,0.00614030241657519
119,NAP,MODE2,0.245140068452726,0.00613952156184549
120,NAP,MODE2,0.198898351919834,0.0063352441052897
121,NAP,MODE2,0.23008240893783,0.00557822261466254
122,NAP,MODE2,0.244010175253476,0.00512021040106882
123,NAP,MODE2,0.226463535463514,0.00800994894523129
124,NAP,MODE2,0.24139911685215,0.00372625055454851
125,NAP,MODE2,0.201937617612792,0.00594503482769854
126,NAP,MODE2,0.238989210582604,0.00275017103208767
127,NAP,MODE2,0.183739112811544,0.00471341619098339
128,NAP,MODE2,0.197192678959857,0.00460570940275327
129,NAP,MODE2,0.215990643418069,0.00582804702966901
130,NAP,MODE2,0.208425499934048,0.00635543369927936
72,NAP,MODE3,0.180474131500847,0.00362196448990603
73,NAP,MODE3,0.191078179848882,0.00433251353054807
74,NAP,MODE3,0.1907599033439,0.00528772954551044
75,NAP,MODE3,0.171196297742643,0.00312277672001922
76,NAP,MODE3,0.225143976884545,0.00575894213220781
77,NAP,MODE3,0.239509981918111,0.00366743015485218
78,NAP,MODE3,0.181009110320273,0.00306208171217699
79,NAP,MODE3,0.161231080656422,0.00262196002343214
80,NAP,MODE3,0.23200838199756,0.00561369100675225
81,NAP,MODE3,0.250934531631541,0.00601238248856351
82,NAP,MODE3,0.166350495826075,0.00228498934643328
83,NAP,MODE3,0.136124693328416,0.00104061284135493
84,NAP,MODE3,0.16161442648642,0.00282119955290039
85,NAP,MODE3,0.220867725712439,0.00688523127209671
86,NAP,MODE3,0.204365496026663,0.00697646914398149
87,NAP,MODE3,0.223746661767346,0.00468461497327118
88,NAP,MODE3,0.224521964596758,0.00508854085851632
89,NAP,MODE3,0.203553971852158,0.00531004143857643
90,NAP,MODE3,0.176065469599137,0.00400432287114092
91,NAP,MODE3,0.18767150494868,0.00453650676683461
92,NAP,MODE3,0.165346745036873,0.00222918876713098
93,NAP,MODE3,0.222129536484249,0.0030634157869734
94,NAP,MODE3,0.245860121656999,0.00671338431677736
95,NAP,MODE3,0.232212020328535,0.00344235543899698
96,NAP,MODE3,0.234781535770387,0.00612092325743102
97,NAP,MODE3,0.216909540075062,0.00564915627494123
98,NAP,MODE3,0.209091003254779,0.00366372912555152
99,NAP,MODE3,0.193964548334767,0.00319069902915641
100,NAP,MODE3,0.190970584353971,0.00453790333085732
101,NAP,MODE3,0.208009868044308,0.00625154462230766
102,NAP,MODE3,0.211193235794563,0.00399958091519196
103,NAP,MODE3,0.241207407929964,0.00561248957629516
104,NAP,MODE3,0.218540324441348,0.00670258770394693
105,NAP,MODE3,0.23622962097585,0.00725633221481863
106,NAP,MODE3,0.180732779931009,0.00218159013431775
107,NAP,MODE3,0.155659499026818,0.00270754949577992
108,NAP,MODE3,0.165439929120832,0.00285056375466552
109,NAP,MODE3,0.242854042506225,0.00405985697942528
110,NAP,MODE3,0.169339892158151,0.00222128795767518
111,NAP,MODE3,0.226404942119767,0.00498189836247076
112,NAP,MODE3,0.222664336193424,0.00285671872174465
113,NAP,MODE3,0.19781917696383,0.00469408530618159
114,NAP,MODE3,0.227262528745368,0.00541395748209626
115,NAP,MODE3,0.199200646982196,0.00360708092152308
116,NAP,MODE3,0.234305138759876,0.00533115303945525
117,NAP,MODE3,0.230115887059067,0.00523607543095301
118,NAP,MODE3,0.214317904750151,0.00477059343027827
119,NAP,MODE3,0.231625201818917,0.00575074754513857
120,NAP,MODE3,0.189012696496524,0.00574720220839638
121,NAP,MODE3,0.217777042566703,0.004501003936963
122,NAP,MODE3,0.160056205012355,0.00325510201845737
123,NAP,MODE3,0.201140848127293,0.00626498854331681
124,NAP,MODE3,0.188044913126613,0.00228531275514837
125,NAP,MODE3,0.237457194183892,0.00486337325130445
126,NAP,MODE3,0.135484542878533,0.00098987116053185
127,NAP,MODE3,0.166035291387955,0.00229758365302315
128,NAP,MODE3,0.174181019313272,0.00361793671120799
129,NAP,MODE3,0.204057350644697,0.0044131472056518
130,NAP,MODE3,0.28433516514743,0.00705093070369223
72,NAP,MODE4,0.199663817707564,0.00472063798875699
73,NAP,MODE4,0.221358245306248,0.00490801925165362
74,NAP,MODE4,0.208707994823075,0.00543686485448295
75,NAP,MODE4,0.171802724345012,0.00355584465304764
76,NAP,MODE4,0.187186833524545,0.00542964585515992
77,NAP,MODE4,0.206760678907693,0.00381316263688987
78,NAP,MODE4,0.201180568047242,0.00354735673121259
79,NAP,MODE4,0.222310266609439,0.0045881358567745
80,NAP,MODE4,0.214350119901706,0.00693423531686448
81,NAP,MODE4,0.209043359149995,0.00640980045212337
82,NAP,MODE4,0.203915083371841,0.00357000496590599
83,NAP,MODE4,0.169613497370029,0.00157061215622768
84,NAP,MODE4,0.194627165830538,0.00434622831926037
85,NAP,MODE4,0.185612597378325,0.00607538906046853
